city_id,city,state_id
564,Independence,23
565,INDIAN LAKE,19
566,Indiana,11
567,Ionia,6
568,Iowa Falls,23
569,"Brooklyn, NY",19
570,Issaquah,8
571,Ithaca,6
572,Ivanhoe,20
573,Douglas,46
574,Black River Falls,21
575,Mckee,27
576,Tyner,27
577,Sylva,43
578,Janesville,21
579,Jasper,24
580,Jeffersontown,27
581,Paintsville,27
582,Joshua Tree,3
583,Juneau,50
584,Kailua,12
585,Kalamazoo,6
586,Kamuela,12
587,Kaneohe,12
588,Kapolei,12
589,Keller,14
590,Kenosha,21
591,Kensington,35
592,Kentwood,6
593,Camden,26
594,King,43
595,King George,9
596,Kingston,19
597,Alexandrida,9
598,Kingwood,14
599,Kirksville,18
600,Kirtland,48
601,Kittery,33
602,Edina,18
603,Barbourville,27
604,Estero,7
605,Kennett Square,11
606,Carolina,51
607,Los Angele,3
608,La Grange,27
609,La Plata,35
610,Weston,32
611,Lewisville,30
612,Lake Barrington,5
613,Lake Oswego,16
614,Lake Placid,19
615,Brainerd,20
616,Baxter,20
617,RICHMOND,9
618,henrico,9
619,Lakewood,4
620,Lamoni,23
621,Lanark,5
622,Sheridan,46
623,Eugene,16
624,Lansdale,11
625,Fort Collins,15
626,"Troy, ID",31
627,Huntsville,37
628,Laurel,45
629,Cobden,5
630,Lebanon,17
631,Miami,7
632,Leland,6
633,Lenexa,22
634,Kinston,43
635,Lowville,19
636,Lewiston,20
637,LEXINGTON,28
638,Salt Lake City,40
639,Ligonier,11
640,Lilburn,24
641,Caliente,44
642,Lincoln Park,6
643,Linton,17
644,Litchfeild,32
645,Litchfield,32
646,Seymour,18
647,Erie,11
648,Ashdown,30
649,Little River,26
650,Livingston,25
651,Livonia,6
652,Appomattox,9
653,Russellville,27
654,Lorton,9
655,Los Ranchos,48
656,Louisiana,18
657,Lowell,6
658,Wallowa,16
659,LUDINGTON,6
660,Bluemont,9
661,Sterling,9
662,Leesburg,9
663,Ashburn,9
664,Lynchburg,9
665,Lynden,8
666,Mableton,24
667,Winterset,23
668,Madras,16
669,DeFuniak Springs,7
670,Dyersburg,13
671,Placerville,3
672,Chanute,22
673,Honesdale,11
674,Murfreesboro,13
675,Wadsworth,4
676,Liberytville,5
677,Manchester,32
678,Manistee,6
679,Manistique,6
680,Mansfield,14
681,Nehalem,16
682,Maple Valley,8
683,MARIETTA,24
684,Marinette,21
685,Orland Park,5
686,Myrtle Beach,26
687,Mobile,37
688,Oshkosh,21
689,Gary,17
690,Whitehall,4
691,Broken Bow,1
692,Marksville,10
693,Marlette,6
694,Benton,27
695,Marshfield,28
696,Williamston,43
697,Maryville,5
698,Maysville,27
699,Mason,6
700,Mattapan,28
701,Mauldin,26
702,mauston,21
703,Stearns,27
704,McKinleyville,3
705,McLean,9
706,Brandenburg,27
707,Medford,28
708,Media,11
709,Kyle,41
710,medina,4
711,Pomeroy,4
712,Frenchburg,27
713,Menlo Park,3
714,Menominee,6
715,Merchantville,2
716,Meridian,31
717,METUCHEN,2
718,Peru,17
719,Oxford,45
720,Middlebury,0
721,Middletown,27
722,Midland,6
723,University City,18
724,Miles City,25
725,Milford,32
726,Mililani,12
727,Rockville,35
728,Minneapolis,20
729,Millen,24
730,Milton,38
731,Mineola,14
732,Muncie,17
733,Minturn,15
734,Mission,22
735,Missoula,25
736,Topeka,22
737,Monroe,6
738,Oakland,3
739,MONTEVALLO,37
740,Mt. Sterling,27
741,Monticello,24
742,Montour Falls,19
743,Montrose,15
744,Shawnee,22
745,McConnelsville,4
746,Martinsville,17
747,Mooresville,17
748,Morganton,43
749,Morristown,2
750,Morro Bay,3
751,Moscow,31
752,City,21
753,Mount Carroll,5
754,Bristol,29
755,Mount Pleasant,26
756,Mt.Washington,27
757,Macon,24
758,Anchorage,50
759,Munising,6
760,Murrysville,11
761,Palmer,50
762,Myersville,35
763,Napa,3
764,Narrowsburg,19
765,Rocky Mount,43
766,Natick,28
767,Nederland,15
768,Needham,28
769,Downtown Neosho,18
770,Netcong,2
771,New Baltimore,6
772,New Bedford,28
773,New Era,6
774,New Glarus,21
775,Grand Island,1
776,New Harmony,17
777,Mechanicsville,9
778,Newcastle,46
779,Newmarket,34
780,Newport Beach,3
781,Nicholasville,27
782,Stanton,1
783,North Branch,20
784,North Canton,4
785,North Creek,19
786,Mason City,23
787,North Myrtle Beach,26
788,Minot,39
789,Chambersburg,11
790,Charlotte Hall,35
791,Northampton,11
792,Northbrook,5
793,Colville,8
794,Northport,6
795,northridge,3
796,Northville,6
797,Norwich,19
798,Vienna,9
799,Nutley,2
800,Oak Creek,21
801,RICHFIELD,4
802,Oakton,9
803,Brighton,28
804,Capitol Heights,35
805,Ocean City,2
806,Ocean Pines,35
807,Bellaire,4
808,St. Clairsville,4
809,Beaufort,43
810,Pickerington,4
811,Olympia,8
812,Omaha,1
813,St Louis,18
814,Oneida,21
815,Jacksonville,43
816,Orange,32
817,Orange Park,7
818,Oregon City,16
819,Merced,3
820,Orinda,3
821,Ormond Beach,7
822,Orofino,31
823,Oswego,5
824,Overbrook,22
825,Ovid,19
826,Spencer,17
827,Oxnard,3
828,Pacific City,16
829,Paducah,27
830,Pahrump,44
831,Watsonville,3
832,Palisades,19
833,Humacao,51
834,Palos Heights,5
835,Rolling Hills Estates,3
836,Paola,22
837,"Paragould, AR",30
838,Parkville,18
839,Oklahoma City,49
840,Spring Run,11
841,Pawling,19
842,Pawtucket,29
843,Cranston,29
844,Payette,31
845,Payson,47
846,Port Clinton,4
847,Sonora,3
848,Angleton,14
849,Peacham,0
850,Spicewood,14
851,Falmouth,27
852,Pendleton,17
853,Pennington,2
854,Perryville,30
855,Perry,22
856,Petaluma,3
857,Petersham,28
858,Pfafftown,43
859,Pflugerville,14
860,Phelan,3
861,Village of Philmont,19
862,Louisville,27
863,Colfax,43
864,North Potomac,35
865,Pikeville,27
866,Pine City,20
867,Pinecrest,7
868,Pittsburg,22
869,McAlester,49
870,Ann Arbor,6
871,Hale,6
872,Plainview,1
873,Plainwell,6
874,Collbran,15
875,Platteville,21
876,Plattsmouth,1
877,Playa Vista,3
878,St. Marys,36
879,Pleasantville,19
880,Poestenkill,19
881,Waianae,12
882,Pontiac,5
883,Port Chester,19
884,Port Sanilac,6
885,PORT TOWNSEND,8
886,Portsmouth,34
887,Sun Prairie,21
888,Galloway,4
889,Prescott,47
890,Price,40
891,Prince George,9
892,Prospect,27
893,San Felipe Pueblo,48
894,Pullman,8
895,Purcellville,9
896,Hurricane,36
897,Puyallup,8
898,Rock Island,5
899,Quapaw,49
900,Quincy,3
901,QUINCY,5
902,Albuquerque,48
903,Wedowee,37
904,Pocahontas,30
905,Beverly,27
906,Red Lodge,25
907,Red Oak,23
908,Baton Rouge,10
909,Homestead,7
910,Redlands,3
911,Reedsburg,21
912,Reidsville,43
913,Reisterstown,35
914,Rensselaer,17
915,Reston,9
916,Rexburg,31
917,Ridgeway,21
918,Orangeburg,26
919,Denmark,26
920,Rindge,34
921,Petersburg,9
922,Hardin,25
923,Riverdale Park,35
924,Wilmington,43
925,indianapolis,17
926,Kenner,10
927,Rock Valley,23
928,Rockford,5
929,Rockmart,24
930,Choteau,25
931,Rogers,20
932,Rogersville,18
933,Rohnert Park,3
934,Rolling Meadows,5
935,Ronan,25
936,Roosevelt,19
937,Tyler,14
938,Roslindale,28
939,Round Rock,14
940,LOMPOC,3
941,Waipahu,12
942,Ruther Glen,9
943,Running Springs,3
944,Ladysmith,21
945,Guerneville,3
946,Russiaville,17
947,Ruston,10
