market_category_id,market_id,category_id
279,1019847,5
280,1019847,7
281,1019847,8
282,1019847,9
283,1019847,10
284,1019847,12
285,1019847,15
286,1019847,16
287,1019847,17
288,1019847,18
289,1019847,20
290,1019847,21
291,1019847,22
292,1019847,23
293,1019847,27
294,1008961,0
295,1008961,1
296,1008961,2
297,1008961,5
298,1008961,7
299,1008961,8
300,1008961,9
301,1008961,10
302,1008961,14
303,1008961,21
304,1008961,23
305,1008961,26
306,1019203,0
307,1019203,1
308,1019203,3
309,1019203,7
310,1019203,8
311,1019203,9
312,1019203,10
313,1019203,15
314,1019203,17
315,1019203,18
316,1019203,19
317,1019203,21
318,1019203,23
319,1019203,25
320,1019203,27
321,1012233,0
322,1012233,1
323,1012233,3
324,1012233,4
325,1012233,5
326,1012233,6
327,1012233,7
328,1012233,8
329,1012233,9
330,1012233,10
331,1012233,12
332,1012233,14
333,1012233,16
334,1012233,17
335,1012233,18
336,1012233,21
337,1012233,23
338,1012233,25
339,1005258,7
340,1005258,8
341,1005258,14
342,1005258,22
343,1005258,23
344,1005258,26
345,1008054,0
346,1008054,1
347,1008054,2
348,1008054,3
349,1008054,4
350,1008054,5
351,1008054,6
352,1008054,7
353,1008054,8
354,1008054,9
355,1008054,10
356,1008054,11
357,1008054,14
358,1008054,15
359,1008054,17
360,1008054,18
361,1008054,19
362,1008054,20
363,1008054,21
364,1008054,23
365,1008054,25
366,1008054,27
367,1008054,29
368,1008612,0
369,1008612,1
370,1008612,2
371,1008612,4
372,1008612,5
373,1008612,7
374,1008612,8
375,1008612,9
376,1008612,10
377,1008612,12
378,1008612,15
379,1008612,16
380,1008612,17
381,1008612,18
382,1008612,19
383,1008612,21
384,1008612,23
385,1008612,26
386,1008612,27
387,1008612,29
388,1018304,1
389,1018304,2
390,1018304,5
391,1018304,7
392,1018304,8
393,1018304,9
394,1018304,10
395,1018304,11
396,1018304,12
397,1018304,14
398,1018304,16
399,1018304,17
400,1018304,18
401,1018304,21
402,1018304,23
403,1018304,25
404,1018304,27
405,1004070,0
406,1004070,1
407,1004070,2
408,1004070,3
409,1004070,4
410,1004070,5
411,1004070,7
412,1004070,8
413,1004070,9
414,1004070,10
415,1004070,12
416,1004070,14
417,1004070,15
418,1004070,17
419,1004070,18
420,1004070,21
421,1004070,22
422,1004070,23
423,1004070,24
424,1004070,26
425,1021689,0
426,1021689,1
427,1021689,2
428,1021689,4
429,1021689,5
430,1021689,6
431,1021689,7
432,1021689,8
433,1021689,9
434,1021689,10
435,1021689,12
436,1021689,14
437,1021689,15
438,1021689,16
439,1021689,17
440,1021689,18
441,1021689,19
442,1021689,21
443,1021689,22
444,1021689,23
445,1021689,24
446,1021689,26
447,1021689,29
448,1019371,1
449,1019371,2
450,1019371,3
451,1019371,4
452,1019371,5
453,1019371,7
454,1019371,8
455,1019371,9
456,1019371,10
457,1019371,12
458,1019371,15
459,1019371,17
460,1019371,18
461,1019371,23
462,1021578,1
463,1021578,4
464,1021578,5
465,1021578,8
466,1021578,9
467,1021578,15
468,1021578,16
469,1021578,17
470,1021578,21
471,1021578,23
472,1000519,1
473,1000519,3
474,1000519,8
475,1000519,9
476,1000519,10
477,1000519,11
478,1000519,15
479,1000519,20
480,1000519,23
481,1019113,0
482,1019113,1
483,1019113,2
484,1019113,4
485,1019113,5
486,1019113,7
487,1019113,8
488,1019113,9
489,1019113,10
490,1019113,11
491,1019113,12
492,1019113,15
493,1019113,16
494,1019113,23
495,1021464,0
496,1021464,1
497,1021464,2
498,1021464,4
499,1021464,5
500,1021464,6
501,1021464,7
502,1021464,8
503,1021464,9
504,1021464,10
505,1021464,12
506,1021464,14
507,1021464,15
508,1021464,16
509,1021464,17
510,1021464,18
511,1021464,19
512,1021464,22
513,1021464,23
514,1021464,26
515,1021597,1
516,1021597,2
517,1021597,3
518,1021597,7
519,1021597,8
520,1021597,9
521,1021597,10
522,1021597,11
523,1021597,12
524,1021597,16
525,1021597,17
526,1021597,18
527,1021597,23
528,1021597,24
529,1019831,1
530,1019831,3
531,1019831,5
532,1019831,8
533,1019831,9
534,1019831,10
535,1019831,12
536,1019831,16
537,1019831,17
538,1019831,18
539,1019832,1
540,1019832,3
541,1019832,4
542,1019832,5
543,1019832,7
544,1019832,8
545,1019832,9
546,1019832,10
547,1019832,12
548,1019832,16
549,1019832,18
550,1012389,1
551,1012389,3
552,1012389,7
